LinkId,Geometry
111640,"LINESTRING(356371.56851 6688954.95647,356370.48218 6688950.96911,356367.49276 6688939.87047,356365.63561 6688929.60784,356364.22271 6688920.47675)"
111874,"LINESTRING(355175.98400 6688552.02193,355176.68057 6688550.16809,355177.33728 6688547.49321,355180.57214 6688512.41429)"
111875,"LINESTRING(355180.57214 6688512.41429,355177.33728 6688547.49321,355176.68057 6688550.16809,355175.98400 6688552.02193)"
112125,"LINESTRING(354213.09504 6687316.04103,354359.19779 6687319.60556)"
112126,"LINESTRING(354359.19779 6687319.60556,354213.09504 6687316.04103)"
112127,"LINESTRING(354359.19779 6687319.60556,354447.30533 6687321.95827,354501.86051 6687322.83872)"
112128,"LINESTRING(354501.86051 6687322.83872,354447.30533 6687321.95827,354359.19779 6687319.60556)"
112129,"LINESTRING(354501.86051 6687322.83872,354526.15647 6687323.32377,354548.23161 6687323.43678)"
112130,"LINESTRING(354548.23161 6687323.43678,354526.15647 6687323.32377,354501.86051 6687322.83872)"
112131,"LINESTRING(354548.23161 6687323.43678,354563.72011 6687323.21901)"
112132,"LINESTRING(354563.72011 6687323.21901,354548.23161 6687323.43678)"
112133,"LINESTRING(354563.72011 6687323.21901,354598.54531 6687321.13672,354653.24763 6687314.73346,354675.58528 6687312.30608,354688.51848 6687311.70243,354709.42805 6687312.77357,354762.60527 6687314.61510)"
112134,"LINESTRING(354762.60527 6687314.61510,354709.42805 6687312.77357,354688.51848 6687311.70243,354675.58528 6687312.30608,354653.24763 6687314.73346,354598.54531 6687321.13672,354563.72011 6687323.21901)"
113423,"LINESTRING(356887.12390 6687573.13479,356888.97667 6687568.16619,356891.52786 6687561.23263,356894.57463 6687555.92836,356896.40440 6687553.19742)"
113706,"LINESTRING(357617.26880 6688480.67224,357626.33938 6688482.96668)"
113707,"LINESTRING(357626.33938 6688482.96668,357617.26880 6688480.67224)"
113795,"LINESTRING(357306.85295 6688485.67421,357290.31495 6688482.20698,357278.73729 6688478.24349)"
113796,"LINESTRING(357282.22947 6688471.58981,357292.07934 6688477.94450,357306.85295 6688485.67421)"
114544,"LINESTRING(354248.91490 6688165.03024,354226.94325 6688162.46471)"
115395,"LINESTRING(357317.39241 6688389.44060,357314.91393 6688394.86780,357312.23841 6688400.42871,357297.08256 6688430.40484)"
115396,"LINESTRING(357297.08256 6688430.40484,357312.23841 6688400.42871,357314.91393 6688394.86780,357317.39241 6688389.44060)"
115441,"LINESTRING(357384.26648 6688255.42601,357380.17896 6688263.20414,357378.72345 6688266.11372,357375.66208 6688272.21967,357362.01592 6688299.44978,357337.44436 6688348.46901)"
115442,"LINESTRING(357337.44436 6688348.46901,357362.01592 6688299.44978,357375.66208 6688272.21967,357378.72345 6688266.11372,357380.17896 6688263.20414,357384.26648 6688255.42601)"
115443,"LINESTRING(357337.44436 6688348.46901,357334.24239 6688355.16162)"
115444,"LINESTRING(357334.24239 6688355.16162,357337.44436 6688348.46901)"
115445,"LINESTRING(357334.24239 6688355.16162,357329.65480 6688364.65967,357325.96359 6688372.47072,357317.39241 6688389.44060)"
